author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779311/;Москва;sale;flat;3;25;2;43.2;18500000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Группа Родина;developer;https://www.cian.ru/sale/flat/293200734/;Москва;sale;flat;3;13;1;37.3;11278100;; 1-я Ватутинская;14к1;Ольховая;Russian Design District
ID 74595537;unknown;https://www.cian.ru/sale/flat/303959730/;Москва;sale;flat;12;53;2;43.4;27700000;Пресненский;Шмитовский проезд;39к8;Москва-Сити;Headliner
St Michael;developer;https://www.cian.ru/sale/flat/303024826/;Москва;sale;flat;16;21;1;37.68;17665200;Хорошевский;9Ак6;9Ак6;Зорге;Зорге 9 ЖК
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303149151/;Москва;sale;flat;9;10;2;85.0;80000000;Хамовники;Ружейный переулок;3;Смоленская;Смоленская Застава
Forma;developer;https://www.cian.ru/sale/flat/300160043/;Москва;sale;flat;1;20;1;59.34;28625616;Даниловский;Автозаводская ;26;Тульская;FORST
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303301977/;Москва;sale;flat;14;27;2;83.0;26800000;Даниловский;1-я оч.;11к2;ЗИЛ;Shagal
Мангазея;developer;https://www.cian.ru/sale/flat/304059316/;Москва;sale;flat;10;41;1;41.3;19530770;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299568402/;Москва;sale;flat;4;23;2;70.0;45000000;Хорошевский;9Ак1;9Ак1;Зорге;Зорге 9 ЖК
ID 111759195;developer;https://www.cian.ru/sale/flat/296871845/;Москва;sale;flat;2;14;1;31.0;11312892;Рязанский;Рязанский проспект;;Окская;balance
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300099173/;Москва;sale;flat;3;15;1;37.5;30000000;Аэропорт;Ленинградский проспект;36с39;Динамо;ВТБ Арена парк
Александр Чалый;realtor;https://www.cian.ru/sale/flat/297988982/;Москва;sale;flat;12;29;2;50.0;25600000;Ховрино;Флотская ;7с1;Речной вокзал;
А101;developer;https://www.cian.ru/sale/flat/288821954/;Москва;sale;flat;3;16;2;54.2;26000289;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300373373/;Москва;sale;flat;9;23;2;68.4;32500000;Хорошево-Мневники;Жилой комплекс остров;2-й кв-л;Терехово ;Остров
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/302615259/;Москва;sale;flat;7;9;2;65.0;41900000;Басманный; Земляной Вал;21/2С1;Курская;
City View;real_estate_agent;https://www.cian.ru/sale/flat/303780972/;Москва;sale;flat;39;44;2;69.4;49000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302342877/;Москва;sale;flat;6;6;2;143.0;154346399;Якиманка; Большая Полянка;61С2;Добрынинская;
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303252400/;Москва;sale;flat;6;10;2;96.0;260000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/302900739/;Москва;sale;flat;3;16;1;29.6;7400000;Дмитровский;Дмитровское шоссе;107Б;Яхромская;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303226697/;Москва;sale;flat;7;12;1;39.4;7900000;;проспект Куприна;32к1;Бунинская аллея;Эко Бунино
А101;developer;https://www.cian.ru/sale/flat/301534151/;Москва;sale;flat;9;10;2;43.2;8796787;;;3.3;Толстопальцево;Родные кварталы ЖК
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/294469100/;Москва;sale;flat;9;9;2;44.0;12300000;Нижегородский;Нижегородская ;49А;Нижегородская;
ID 95996886;realtor;https://www.cian.ru/sale/flat/302896262/;Москва;sale;flat;8;9;2;37.0;13500000;Текстильщики;Волжский бульвар;12К1;Текстильщики;
ID 45097821;realtor;https://www.cian.ru/sale/flat/301645204/;Москва;sale;flat;2;23;2;38.0;13500000;Хорошевский; Зорге;9;Полежаевская;Зорге 9
Виталий Флокосу;realtor;https://www.cian.ru/sale/flat/303001192/;Москва;sale;flat;2;22;1;48.0;14499000;Солнцево;Боровское шоссе;2Ак3;Говорово;Мещерский лес
Евгения Климова;realtor;https://www.cian.ru/sale/flat/302900735/;Москва;sale;flat;2;17;1;37.0;14500000;Хорошевский;9Ак7;9Ак7;Полежаевская;Зорге 9 ЖК
Татьяна Серебрякова;realtor;https://www.cian.ru/sale/flat/302283450/;Москва;sale;flat;5;14;2;52.0;15999999;Марьино;Братиславская ;6К1;Братиславская;
Павел Пряжников;realtor;https://www.cian.ru/sale/flat/303823301/;Москва;sale;flat;9;16;1;38.0;16400000;Кунцево;Полоцкая ;25к1;Молодёжная;
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302124517/;Москва;sale;flat;3;34;1;47.8;19320760;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Юлия Похлёбина;realtor;https://www.cian.ru/sale/flat/303496415/;Москва;sale;flat;9;25;2;61.5;19990000;; Анны Ахматовой;8;Рассказовка;Переделкино Ближнее Город-парк
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/302793185/;Москва;sale;flat;3;10;2;63.0;26000000;Можайский;Барвихинская ;6;Сетунь;Дом на Барвихинской
Пионер;developer;https://www.cian.ru/sale/flat/301460277/;Москва;sale;flat;16;39;1;37.2;27747294;Даниловский;;;Павелецкая;Хай Лайф ЖК
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/303155483/;Москва;sale;flat;3;7;2;80.0;29290000;Басманный;Нижняя Красносельская ;35С2;Бауманская;Kleinhouse
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302214446/;Москва;sale;flat;28;45;2;77.1;37400000;Хорошево-Мневники;;;Шелепиха;Сидней Сити ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293510493/;Москва;sale;flat;8;22;2;87.2;38000000;Раменки; Пырьева;9К1;Поклонная;
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/302363686/;Москва;sale;flat;6;14;2;78.0;37990000;Беговой;Скаковая ;5;Белорусская;
Upside Development;developer;https://www.cian.ru/sale/flat/303215976/;Москва;sale;flat;12;12;1;58.7;38155000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/300660827/;Москва;sale;flat;28;29;2;53.6;42800000;Якиманка;Мытная ;40к4;Октябрьская;Sky House
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Москва;sale;flat;4;8;2;65.0;44900000;Тверской;Благовещенский переулок;5;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300812063/;Москва;sale;flat;2;3;2;77.0;50000000;Хамовники;Саввинская набережная;5;Киевская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302543412/;Москва;sale;flat;8;9;2;71.3;60000000;Тверской;1-я Тверская-Ямская ;7;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/292154263/;Москва;sale;flat;4;20;2;76.6;62046000;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008779/;Москва;sale;flat;12;28;2;121.68;63400000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/295368581/;Москва;sale;flat;3;9;2;135.4;145000000;Якиманка; Малая Полянка;2;Полянка;Онегин
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290697585/;Москва;sale;flat;3;9;2;148.5;230000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303176840/;Москва;sale;flat;7;12;1;43.0;5800000;; Гореловская;3;Силикатная;
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Москва;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/296746930/;Москва;sale;flat;1;9;1;34.9;6854250;Люблино; Верхние Поля;27С2;Братиславская;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292414373/;Москва;sale;flat;16;22;1;15.1;7450000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/301906475/;Москва;sale;flat;16;22;1;17.3;7700000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294623881/;Москва;sale;flat;15;22;1;19.9;8060000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ID 107814632;homeowner;https://www.cian.ru/sale/flat/304088261/;Москва;sale;flat;2;2;2;24.4;8170000;Текстильщики;1-й Грайвороновский проезд;1;Текстильщики;Грани
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/295014010/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300858701/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/296124514/;Москва;sale;flat;22;22;1;17.2;8780000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292542632/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300822403/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/301476484/;Москва;sale;flat;13;22;1;17.6;8900000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294621795/;Москва;sale;flat;13;22;1;19.9;9070000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/303666748/;Москва;sale;flat;16;22;1;19.2;9000000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ID 96167522;realtor;https://www.cian.ru/sale/flat/298882717/;Москва;sale;flat;9;9;1;36.5;9215000;Люблино; Верхние Поля;27С2;Братиславская;
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/303560811/;Москва;sale;flat;4;7;1;40.0;9650000;; Медовая Долина;2;Санино;Баркли Медовая долина
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303866591/;Москва;sale;flat;4;5;2;42.8;11500000;Новогиреево;Мартеновская ;16/36;Новогиреево;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/300568239/;Москва;sale;flat;3;5;2;46.7;12390000;Новогиреево;Мартеновская ;20;Новогиреево;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303817562/;Москва;sale;flat;3;9;2;47.0;12490000;Орехово-Борисово Южное;Домодедовская ;33;Домодедовская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303274502/;Москва;sale;flat;3;9;1;32.1;12690000;Южнопортовый;5-я Кожуховская ;22К2;Кожуховская;
Business Leader;real_estate_agent;https://www.cian.ru/sale/flat/301821529/;Москва;sale;flat;14;14;1;38.9;12800000;Южнопортовый;Шарикоподшипниковская ;16;Дубровка;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303810531/;Москва;sale;flat;5;8;2;44.7;14190000;Донской;Варшавское шоссе;18К3;Верхние котлы;
Rooms and Rent Group;real_estate_agent;https://www.cian.ru/sale/flat/303921166/;Москва;sale;flat;16;20;1;41.9;14600000;Чертаново Южное;Варшавское шоссе;160к2;Аннино;Аннинский
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303870914/;Москва;sale;flat;9;17;2;51.1;14800000;Марьино;Новомарьинская ;36К1;Братиславская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301597650/;Москва;sale;flat;5;9;2;44.8;15190000;Очаково-Матвеевское;Очаковское шоссе;11К1;Аминьевская;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303807545/;Москва;sale;flat;14;17;2;64.0;15990000;; Бориса Пастернака;49;Мичуринец;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/301506427/;Москва;sale;flat;1;12;2;38.2;17200000;Тверской; Бутырский Вал;34;Белорусская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303787673/;Москва;sale;flat;3;16;2;57.0;17500000;;проспект Прокшинский;10;Прокшино;Прокшино
ID 21251358;realtor;https://www.cian.ru/sale/flat/303646912/;Москва;sale;flat;6;43;1;28.0;17490000;Раменки; Василия Ланового;1к1;Аминьевская;Огни
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302728199/;Москва;sale;flat;5;17;2;55.9;18000000;Отрадное;Нововладыкинский проезд;1к3;Окружная;Поколение
Андрей Иванов;realtor;https://www.cian.ru/sale/flat/299174112/;Москва;sale;flat;22;33;1;34.4;19000000;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
MR Group;developer;https://www.cian.ru/sale/flat/303227074/;Москва;sale;flat;17;30;1;41.5;19199932;Южнопортовый;Волгоградский проспект;32/3к4;Волгоградский проспект;Метрополия
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301596332/;Москва;sale;flat;4;5;2;53.9;20290000;Ломоносовский; Строителей;5К4;Университет;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303814205/;Москва;sale;flat;2;9;1;34.1;20490000;Красносельский;переулок Даев;12/16;Сухаревская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300140948/;Москва;sale;flat;11;20;1;44.0;22490000;Левобережный;Ленинградское шоссе;69;Беломорская;Aquatoria
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296736911/;Москва;sale;flat;4;21;1;45.15;22500000;Алексеевский;Новоалексеевская ;16к2;Алексеевская;Серебряный фонтан
ID 104795526;real_estate_agent;https://www.cian.ru/sale/flat/297486676/;Москва;sale;flat;2;9;1;41.4;22900000;Хамовники;Комсомольский проспект;23/7;Фрунзенская;
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/303933867/;Москва;sale;flat;8;46;2;43.5;23500000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303100522/;Москва;sale;flat;9;17;2;75.0;24500000;Даниловский;1-я оч.;11к2;ЗИЛ;Shagal
MR Group;developer;https://www.cian.ru/sale/flat/276155299/;Москва;sale;flat;3;57;1;42.77;24617001;Филевский парк;;;Фили;Фили Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Москва;sale;flat;5;6;1;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/295316100/;Москва;sale;flat;22;42;2;61.6;27990000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300386935/;Москва;sale;flat;10;33;2;44.3;28500000;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303788194/;Москва;sale;flat;14;29;2;50.1;29600000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303196371/;Москва;sale;flat;14;28;2;67.0;30000000;Можайский;переулок 2-й Петра Алексеева;5;Рабочий посёлок;КутузовGRAD II
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/288460035/;Москва;sale;flat;9;21;2;50.3;33400000;Басманный; Земляной Вал;37к1;Чкаловская;Дом Chkalov
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/303401196/;Москва;sale;flat;26;43;2;62.8;35200000;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303875575/;Москва;sale;flat;21;36;2;56.1;35500000;Хорошево-Мневники;Шелепихинская набережная;42к2;Полежаевская;FreeDOM
ID 74438895;realtor;https://www.cian.ru/sale/flat/302406289/;Москва;sale;flat;11;16;2;63.0;35900000;Сокольники; Матросская Тишина;12;Сокольники;Ренессанс
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302295108/;Москва;sale;flat;10;46;2;58.5;39900000;Даниловский;Дубининская ;59А;Павелецкая;Павелецкая Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296565916/;Москва;sale;flat;4;8;2;65.0;44900000;Тверской;Благовещенский переулок;5;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/277370296/;Москва;sale;flat;2;7;2;60.4;47133384;Пресненский;Никитский бульвар;12;Арбатская;
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008778/;Москва;sale;flat;4;28;2;70.0;48000000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296060032/;Москва;sale;flat;5;8;2;52.7;49000000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
Capital Group;developer;https://www.cian.ru/sale/flat/301483027/;Москва;sale;flat;12;18;1;53.4;59653573;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300133660/;Москва;sale;flat;3;3;2;107.8;70000000;Покровское-Стрешнево;Ленинградское шоссе;23к1;Балтийская;TWEED PARK
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303370372/;Москва;sale;flat;4;8;1;57.0;70000000;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299558863/;Москва;sale;flat;2;4;2;136.6;75000000;Донской;Варшавское шоссе;9с28;Тульская;Даниловская мануфактура
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006046/;Москва;sale;flat;4;6;2;156.0;77400000;Тверской; Малая Дмитровка;29С1;Маяковская;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/303920462/;Москва;sale;flat;17;78;2;92.0;80000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/303612164/;Москва;sale;flat;2;8;2;77.4;123000000;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302731259/;Москва;sale;flat;5;14;2;82.0;150000000;Хамовники;Трубецкая ;10;Фрунзенская;Дом на Трубецкой
Кристина Лебедева;realtor;https://www.cian.ru/sale/flat/300285703/;Москва;sale;flat;3;4;2;36.0;10150000;Соколиная гора;Щербаковская ;53;Измайлово;
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/301907258/;Москва;sale;flat;2;12;1;38.7;10600000;Строгино; Исаковского;2К1;Мякинино;
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/297704043/;Москва;sale;flat;15;21;1;36.5;16500000;Головинский;Кронштадтский бульвар;к1/2;Водный стадион;Кронштадтский 9
Prime;real_estate_agent;https://www.cian.ru/sale/flat/300941020/;Москва;sale;flat;2;28;1;46.3;18400000;Даниловский;1-я оч.;к7;ЗИЛ;Shagal
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303228530/;Москва;sale;flat;19;43;1;39.5;21050000;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
ID 46606378;realtor;https://www.cian.ru/sale/flat/303819109/;Москва;sale;flat;7;39;1;32.3;21777777;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Level Group;developer;https://www.cian.ru/sale/flat/302126131/;Москва;sale;flat;20;26;1;33.5;22848309;Нагатино-Садовники;Нагатинская набережная;10А;Нагатинская;Level Нагатинская
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/302828206/;Москва;sale;flat;14;25;1;44.3;23527036;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303902689/;Москва;sale;flat;16;41;2;50.5;24380000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Премиум Сервис;real_estate_agent;https://www.cian.ru/sale/flat/300644939/;Москва;sale;flat;9;29;1;35.4;25000000;Хорошево-Мневники;Шелепихинская набережная;34к4;Шелепиха;Сердце Столицы
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302727288/;Москва;sale;flat;11;15;2;53.0;30500000;Аэропорт;Ленинградский проспект;36с39;Динамо;ВТБ Арена парк
Prime;real_estate_agent;https://www.cian.ru/sale/flat/294562801/;Москва;sale;flat;25;33;2;69.8;36800000;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300299470/;Москва;sale;flat;22;44;2;85.7;38000000;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
HYDE Residences;real_estate_agent;https://www.cian.ru/sale/flat/303399320/;Москва;sale;flat;50;85;2;92.0;43000000;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;МФК ОКО
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302893025/;Москва;sale;flat;28;29;2;53.0;44000000;Якиманка;Мытная ;40к4;Октябрьская;Sky House
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302620422/;Москва;sale;flat;11;12;2;77.0;64000000;Аэропорт;Ленинградский проспект;36с36;Динамо;ВТБ Арена парк
ТСН Владис;real_estate_agent;https://www.cian.ru/sale/flat/296233811/;Москва;sale;flat;20;25;1;33.9;8000000;;;6;Коммунарка;
Колди;developer;https://www.cian.ru/sale/flat/302241111/;Москва;sale;flat;12;21;1;38.59;11281238;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299064211/;Москва;sale;flat;8;16;1;29.2;15300000;Хорошево-Мневники; Нижние Мневники;;Мнёвники;Остров
MR Group;developer;https://www.cian.ru/sale/flat/298871546/;Москва;sale;flat;38;48;1;34.8;16136690;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
Адресат;real_estate_agent;https://www.cian.ru/sale/flat/303608215/;Москва;sale;flat;18;33;2;57.0;16200000;Южное Бутово; Поляны;5Ак2;Улица Скобелевская;Столичные поляны
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298484253/;Москва;sale;flat;3;14;1;38.8;16500000;Даниловский;проспект Лихачева;;ЗИЛ;Nagatino i-Land
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303253613/;Москва;sale;flat;4;15;1;30.2;17500000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301313976/;Москва;sale;flat;26;42;2;46.0;22500000;Котловка;Большая Черемушкинская ;25С14;Нагорная;Eniteo
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/300877720/;Москва;sale;flat;25;37;2;57.0;23000000;Останкинский; Годовикова;11к5;Алексеевская;iLove
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299110205/;Москва;sale;flat;7;11;1;39.8;24950000;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296569807/;Москва;sale;flat;50;55;2;42.62;26750000;Марьина роща; 4-я Марьиной рощи;12С4;Марьина Роща;Mod
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297075052/;Москва;sale;flat;50;55;2;42.47;26750000;Марьина роща; 4-я Марьиной рощи;12С4;Марьина Роща;Mod
TOUCH;developer;https://www.cian.ru/sale/flat/302838431/;Москва;sale;flat;8;13;1;45.55;29049000;Южнопортовый;;к2;Дубровка;Шампайн ЖК
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/298749234/;Москва;sale;flat;4;25;2;71.0;30600000;Раменки; Янковского;1к3;Аминьевская;Событие
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/303122846/;Москва;sale;flat;17;22;2;73.3;32000000;Щукино;Щукинская ;3;Стрешнево;Интонация
